Address1,Address2,Distance
"Corso Massimo D'Azeglio, 42, Torino","Lungo Dora Siena, 100, Torino",2.68
"Lungo Dora Siena, 100, Torino","Via Antonio Rosmini, 4/a, Torino",3.46
"Lungo Dora Siena, 100, Torino","Via Nizza, 230, Torino",5.23
"Lungo Dora Siena, 100, Torino","Via Nizza, 52, Torino",3.29
"Corso Bramante, 88, Torino","Lungo Dora Siena, 100, Torino",4.07
"Corso Achille Mario Dogliotti, 14, Torino","Lungo Dora Siena, 100, Torino",4.11
"Corso Dogliotti, 38, Torino","Lungo Dora Siena, 100, Torino",4.27
"Lungo Dora Siena, 100, Torino","Via Cherasco, 11, Torino",4.38
"Lungo Dora Siena, 100, Torino","Via Cherasco, 15, Torino",4.43
"Lungo Dora Siena, 100, Torino","Via Genova, 3, Torino",4.18
"Lungo Dora Siena, 100, Torino","Via Santena, 5 bis, Torino",4.51
"Lungo Dora Siena, 100, Torino","Via Santena, 7, Torino",4.49
"Lungo Dora Siena, 100, Torino","Via Santena, 9, Torino",4.49
"Lungo Dora Siena, 100, Torino","Via Zuretti, 29, Torino",4.93
"Lungo Dora Siena, 100, Torino","Via Juvarra, 19, Torino",2.24
"Largo Polonia, 94, Torino","Lungo Dora Siena, 100, Torino",4.71
"Lungo Dora Siena, 100, Torino","Via Cherasco, 23, Torino",4.55
"Lungo Dora Siena, 100, Torino","Via Ventimiglia, 3, Torino",4.77
"Lungo Dora Siena, 100, Torino","Via Ventimiglia, 145, Torino",6.07
"Lungo Dora Siena, 100, Torino","Via Giulia di Barolo, 3/a, Torino",0.87
"Lungo Dora Siena, 100, Torino","Via dell'Arsenale, 22, Torino",1.8
"Lungo Dora Siena, 100, Torino","Via Verdi, 10, Torino",0.89
"Lungo Dora Siena, 100, Torino","Via Carlo Alberto, 10, Torino",12.11
"Lungo Dora Siena, 100, Torino","Via Sant'Ottavio, 20, Torino",0.76
"Corso Galileo Ferraris, 29, Torino","Lungo Dora Siena, 100, Torino",3.43
"Lungo Dora Siena, 100, Torino","Via Verdi, 25, Torino",0.81
"Lungo Dora Siena, 100, Torino","Via Plana, 10, Torino",1.21
"Lungo Dora Siena, 100, Torino","Via XX Settembre, 83, Torino",1.17
"Lungo Dora Siena, 100, Torino","Regione Gonzole, 10, Orbassano",12.22
"Lungo Dora Siena, 100, Torino","Via Ventimiglia, 115, Torino",5.75
"Corso Unione Sovietica, 218 bis, Torino","Lungo Dora Siena, 100, Torino",5.46
"Lungo Dora Siena, 100, Torino","Via Filadelfia, 73, Torino",5.96
"Corso Massimo D'Azeglio, 15/b, Torino","Lungo Dora Siena, 100, Torino",3.04
"Lungo Dora Siena, 100, Torino","Via Pietro Giuria, 15, Torino",3.07
"Lungo Dora Siena, 100, Torino","Via Michelangelo, 25, Torino",9.19
"Lungo Dora Siena, 100, Torino","Via Sant'Ottavio, 54, Torino",0.33
"Corso Regina Margherita, 60, Torino","Via Sant'Ottavio, 20, Torino",0.56
"Corso S.Maurizio 31/a, Torino","Via Sant'Ottavio, 20, Torino",0.39
"Largo Paolo Braccini, 2, Grugliasco","Via Sant'Ottavio, 20, Torino",8.05
"Via Quarello, 15/A, Torino","Via Sant'Ottavio, 20, Torino",8.27
"Via Po, 30, Torino","Via Sant'Ottavio, 20, Torino",0.22
"Via Sant'Ottavio, 20, Torino","Via XX Settembre, 15, Torino",1.21
"Piazza Castello, 9, Torino","Via Sant'Ottavio, 20, Torino",0.61
"Via Nizza, 262, Torino","Via Sant'Ottavio, 20, Torino",4.53
"Via San Giacomo, 2, Beinasco","Via Sant'Ottavio, 20, Torino",8.86
"Via Sant'Ottavio, 18, Torino","Via Sant'Ottavio, 20, Torino",0.06
"Corso Massimo D'Azeglio, 50, Torino","Via Sant'Ottavio, 20, Torino",2.24
"Corso Massimo D'Azeglio, 52, Torino","Via Sant'Ottavio, 20, Torino",2.32
"Corso Raffaello, 30, Torino","Via Sant'Ottavio, 20, Torino",2.2
"Via Pietro Giuria, 7, Torino","Via Sant'Ottavio, 20, Torino",2.11
"Via Pietro Giuria, 1, Torino","Via Sant'Ottavio, 20, Torino",2.02
"Via Pessinetto, 12, Torino","Via Sant'Ottavio, 20, Torino",3.68
"Via Michelangelo, 27, Torino","Via Sant'Ottavio, 20, Torino",2.26
"Via Sant'Ottavio, 20, Torino","Via Valperga Caluso, 35, Torino",1.97
"Via Sant'Ottavio, 20, Torino","Viale Pier Andrea Mattioli, 25, Torino",1.55
"Via Pietro Giuria, 9, Torino","Via Sant'Ottavio, 20, Torino",2.13
"Via Gabriele Chiabrera, 27, Torino","Via Sant'Ottavio, 20, Torino",2.78
"Via Po, 18, Torino","Via Sant'Ottavio, 20, Torino",0.32
"Corso Regina Margherita, 211, Torino","Via Sant'Ottavio, 20, Torino",2.95
"Via Montebello, 28 bis, Torino","Via Sant'Ottavio, 20, Torino",0.32
"Corso Massimo D'Azeglio, 42, Torino","Via Sant'Ottavio, 20, Torino",1.93
"Via Antonio Rosmini, 4/a, Torino","Via Sant'Ottavio, 20, Torino",2.71
"Via Nizza, 230, Torino","Via Sant'Ottavio, 20, Torino",4.47
"Via Nizza, 52, Torino","Via Sant'Ottavio, 20, Torino",2.54
"Corso Bramante, 88, Torino","Via Sant'Ottavio, 20, Torino",3.31
"Corso Achille Mario Dogliotti, 14, Torino","Via Sant'Ottavio, 20, Torino",3.36
"Corso Dogliotti, 38, Torino","Via Sant'Ottavio, 20, Torino",3.52
"Via Cherasco, 11, Torino","Via Sant'Ottavio, 20, Torino",3.63
"Via Cherasco, 15, Torino","Via Sant'Ottavio, 20, Torino",3.67
"Via Genova, 3, Torino","Via Sant'Ottavio, 20, Torino",3.42
"Via Sant'Ottavio, 20, Torino","Via Santena, 5 bis, Torino",3.76
"Via Sant'Ottavio, 20, Torino","Via Santena, 7, Torino",3.74
"Via Sant'Ottavio, 20, Torino","Via Santena, 9, Torino",3.74
"Via Sant'Ottavio, 20, Torino","Via Zuretti, 29, Torino",4.18
"Via Juvarra, 19, Torino","Via Sant'Ottavio, 20, Torino",1.97
"Largo Polonia, 94, Torino","Via Sant'Ottavio, 20, Torino",3.96
"Via Cherasco, 23, Torino","Via Sant'Ottavio, 20, Torino",3.8
"Via Sant'Ottavio, 20, Torino","Via Ventimiglia, 3, Torino",4.02
"Via Sant'Ottavio, 20, Torino","Via Ventimiglia, 145, Torino",5.33
"Via Giulia di Barolo, 3/a, Torino","Via Sant'Ottavio, 20, Torino",0.19
"Via Sant'Ottavio, 20, Torino","Via dell'Arsenale, 22, Torino",1.23
"Via Sant'Ottavio, 20, Torino","Via Verdi, 10, Torino",0.36
"Via Carlo Alberto, 10, Torino","Via Sant'Ottavio, 20, Torino",12.1
"Via Sant'Ottavio, 20, Torino","Via Sant'Ottavio, 20, Torino",0.0
"Corso Galileo Ferraris, 29, Torino","Via Sant'Ottavio, 20, Torino",2.75
"Via Sant'Ottavio, 20, Torino","Via Verdi, 25, Torino",0.21
"Via Plana, 10, Torino","Via Sant'Ottavio, 20, Torino",0.46
"Via Sant'Ottavio, 20, Torino","Via XX Settembre, 83, Torino",0.94
"Regione Gonzole, 10, Orbassano","Via Sant'Ottavio, 20, Torino",11.61
"Via Sant'Ottavio, 20, Torino","Via Ventimiglia, 115, Torino",5.0
"Corso Unione Sovietica, 218 bis, Torino","Via Sant'Ottavio, 20, Torino",4.72
"Via Filadelfia, 73, Torino","Via Sant'Ottavio, 20, Torino",5.3
"Corso Massimo D'Azeglio, 15/b, Torino","Via Sant'Ottavio, 20, Torino",2.29
"Via Pietro Giuria, 15, Torino","Via Sant'Ottavio, 20, Torino",2.32
"Via Michelangelo, 25, Torino","Via Sant'Ottavio, 20, Torino",8.75
"Via Sant'Ottavio, 20, Torino","Via Sant'Ottavio, 54, Torino",0.43
"Corso Regina Margherita, 60, Torino","Via Pietro Giuria, 1, Torino",2.58
"Corso S.Maurizio 31/a, Torino","Via Pietro Giuria, 1, Torino",2.34
"Largo Paolo Braccini, 2, Grugliasco","Via Pietro Giuria, 1, Torino",7.28
"Via Pietro Giuria, 1, Torino","Via Quarello, 15/A, Torino",6.39
"Via Pietro Giuria, 1, Torino","Via Po, 30, Torino",1.84
"Via Pietro Giuria, 1, Torino","Via XX Settembre, 15, Torino",1.5
"Piazza Castello, 9, Torino","Via Pietro Giuria, 1, Torino",2.03
"Via Nizza, 262, Torino","Via Pietro Giuria, 1, Torino",2.51
"Via Pietro Giuria, 1, Torino","Via San Giacomo, 2, Beinasco",7.23
"Via Pietro Giuria, 1, Torino","Via Sant'Ottavio, 18, Torino",1.97
"Corso Massimo D'Azeglio, 50, Torino","Via Pietro Giuria, 1, Torino",0.22
"Corso Massimo D'Azeglio, 52, Torino","Via Pietro Giuria, 1, Torino",0.3
"Corso Raffaello, 30, Torino","Via Pietro Giuria, 1, Torino",0.18
"Via Pietro Giuria, 1, Torino","Via Pietro Giuria, 7, Torino",0.09
"Via Pietro Giuria, 1, Torino","Via Pietro Giuria, 1, Torino",0.0
"Via Pessinetto, 12, Torino","Via Pietro Giuria, 1, Torino",4.58
"Via Michelangelo, 27, Torino","Via Pietro Giuria, 1, Torino",0.24
"Via Pietro Giuria, 1, Torino","Via Valperga Caluso, 35, Torino",0.06
"Via Pietro Giuria, 1, Torino","Viale Pier Andrea Mattioli, 25, Torino",0.5
"Via Pietro Giuria, 1, Torino","Via Pietro Giuria, 9, Torino",0.11
"Via Gabriele Chiabrera, 27, Torino","Via Pietro Giuria, 1, Torino",0.78
"Via Pietro Giuria, 1, Torino","Via Po, 18, Torino",1.92
"Corso Regina Margherita, 211, Torino","Via Pietro Giuria, 1, Torino",3.75
"Via Montebello, 28 bis, Torino","Via Pietro Giuria, 1, Torino",2.31
"Corso Massimo D'Azeglio, 42, Torino","Via Pietro Giuria, 1, Torino",0.1
"Via Antonio Rosmini, 4/a, Torino","Via Pietro Giuria, 1, Torino",0.79
"Via Nizza, 230, Torino","Via Pietro Giuria, 1, Torino",2.45
"Via Nizza, 52, Torino","Via Pietro Giuria, 1, Torino",0.65
"Corso Bramante, 88, Torino","Via Pietro Giuria, 1, Torino",1.29
"Corso Achille Mario Dogliotti, 14, Torino","Via Pietro Giuria, 1, Torino",1.35
"Corso Dogliotti, 38, Torino","Via Pietro Giuria, 1, Torino",1.51
"Via Cherasco, 11, Torino","Via Pietro Giuria, 1, Torino",1.6
"Via Cherasco, 15, Torino","Via Pietro Giuria, 1, Torino",1.65
"Via Genova, 3, Torino","Via Pietro Giuria, 1, Torino",1.4
"Via Pietro Giuria, 1, Torino","Via Santena, 5 bis, Torino",1.75
"Via Pietro Giuria, 1, Torino","Via Santena, 7, Torino",1.74
"Via Pietro Giuria, 1, Torino","Via Santena, 9, Torino",1.74
"Via Pietro Giuria, 1, Torino","Via Zuretti, 29, Torino",2.18
"Via Juvarra, 19, Torino","Via Pietro Giuria, 1, Torino",2.64
"Largo Polonia, 94, Torino","Via Pietro Giuria, 1, Torino",1.96
"Via Cherasco, 23, Torino","Via Pietro Giuria, 1, Torino",1.78
"Via Pietro Giuria, 1, Torino","Via Ventimiglia, 3, Torino",2.01
"Via Pietro Giuria, 1, Torino","Via Ventimiglia, 145, Torino",3.33
"Via Giulia di Barolo, 3/a, Torino","Via Pietro Giuria, 1, Torino",1.93
"Via Pietro Giuria, 1, Torino","Via dell'Arsenale, 22, Torino",1.66
"Via Pietro Giuria, 1, Torino","Via Verdi, 10, Torino",2.0
"Via Carlo Alberto, 10, Torino","Via Pietro Giuria, 1, Torino",12.19
"Corso Galileo Ferraris, 29, Torino","Via Pietro Giuria, 1, Torino",1.46
"Via Pietro Giuria, 1, Torino","Via Verdi, 25, Torino",2.02
"Via Pietro Giuria, 1, Torino","Via Plana, 10, Torino",1.57
"Via Pietro Giuria, 1, Torino","Via XX Settembre, 83, Torino",2.33
"Regione Gonzole, 10, Orbassano","Via Pietro Giuria, 1, Torino",10.13
"Via Pietro Giuria, 1, Torino","Via Ventimiglia, 115, Torino",3.0
