Degree Code,Degree Name,Degree Department,Degree Level,Number of Students,Number of Assignments,Mean Distance,"(0, 0.5)","(0.5, 1)","(1, 2)","(2, 3)","(3, 4)","(4, 5)","(5, 20)"
0101M22,Molecular Biotechnology,Biotenologie molecolari e scienze per la salute,II,81,8,0.0,8,0,0,0,0,0,0
055504,"Corso Galileo Ferraris, 29, Torino",Informatica,II,78,8,1.84,0,0,8,0,0,0,0
005505,ARCHEOLOGIA E STORIA ANTICA,Studi storici,II,78,8,0.0,8,0,0,0,0,0,0
2607M21,"SCIENZE DEL LIBRO, DEL DOCUMENTO, DEL PATRIMONIO CULTURALE",Studi storici,II,78,8,0.0,8,0,0,0,0,0,0
2603M21,SCIENZE DELLE RELIGIONI,Studi storici,II,78,8,0.0,8,0,0,0,0,0,0
2604M21,SCIENZE STORICHE ,Studi storici,II,78,8,0.0,8,0,0,0,0,0,0
005513,STORIA DELL'ARTE,Studi storici,II,78,8,0.0,8,0,0,0,0,0,0
2001M21,SCIENZE DELLE PROFESSIONI SANITARIE DELLA PREVENZIONE,Scienze della sanità pubblica e pediatriche,II,56,8,0.11,8,0,0,0,0,0,0
1401M21,ARTIFICIAL INTELLIGENCE FOR BIOMEDICINE AND HEALTHCARE,Oncologia,II,53,8,0.0,8,0,0,0,0,0,0
070505,SCIENZE DELLE PROFESSIONI SANITARIE TECNICHE DIAGNOSTICHE,Scienze della sanità pubblica e pediatriche,II,53,8,0.14,8,0,0,0,0,0,0
070503,SCIENZE INFERMIERISTICHE E OSTETRICHE,Scienze della sanità pubblica e pediatriche,II,53,8,0.22,8,0,0,0,0,0,0
070715,TECNICHE DI NEUROFISIOPATOLOGIA,"Neuroscienze ""Rita Levi Montalcini""",I,50,12,0.0,12,0,0,0,0,0,0
0901M21,Geografia e scienze territoriali,"Interateneo di Scienze, progetto e politiche del territorio",II,46,8,0.17,8,0,0,0,0,0,0
2103M21,Georisorse e gestione ecosostenibile d’impresa,Scienze della terra,II,46,8,0.0,8,0,0,0,0,0,0
2102M21,"MONITORAGGIO AMBIENTALE, TUTELA E RIPRISTINO",Scienze della terra,II,42,8,0.0,8,0,0,0,0,0,0
008542,SCIENZE GEOLOGICHE APPLICATE,Scienze della terra,II,42,8,0.0,8,0,0,0,0,0,0
1301M21,BIOTECHNOLOGY FOR NEUROSCIENCE,"Neuroscienze ""Rita Levi Montalcini""",II,28,8,0.0,8,0,0,0,0,0,0
